State_ab,City,Zip_Code,Lat,Lon,Median,Stdev
AL,Heflin,36264,33.6989979,-85.5727972,25199,32837
AL,Kinston,36453,31.2721909,-86.1506243,30746,46019
AL,Enterprise,36330,31.3627415,-85.8358304,84211,56279
AL,Sheffield,35660,34.7708294,-87.6799629,42586,39138
AL,Muscle Shoals,35662,34.7242107,-87.6264192,65185,55384
AL,Leighton,35646,34.774634,-87.5053473,38525,36757
AL,Castleberry,36432,31.3411108,-87.0387457,28982,24289
AL,Luverne,36049,31.7244285,-86.3608435,28886,35812
AL,Baileyton,35019,34.2616429,-86.5683185,65528,43897
AL,Vinemont,35179,34.2715006,-86.8345066,39630,49847
AL,Garden City,35070,33.9980493,-86.7870516,28444,38686
AL,Ft Rucker,36362,31.4097368,-85.7458071,59974,38238
AL,Evergreen,36401,31.4626914,-86.9984985,16878,39063
AL,Ozark,36360,31.4833011,-85.6497139,49674,60856
AL,Daleville,36322,31.3021556,-85.7056542,61815,49004
AL,Midland City,36350,31.3374977,-85.4657416,33772,31328
AL,Selma,36703,32.5526588,-87.0352646,45588,47564
AL,Selma,36701,32.4157042,-87.0280529,15982,20480
AL,Orrville,36767,32.3256691,-87.2191795,20489,27688
AL,Rainsville,36986,34.5326223,-85.8630796,37458,34391
AL,Fyffe,35971,34.4340842,-85.9687233,40569,19063
AL,Crossville,35962,34.2571822,-86.025488,54135,34788
AL,Ft Payne,35967,34.3660315,-85.6964687,40662,30381
AL,Eclectic,36024,32.6328834,-86.0345965,50579,30368
AL,Wetumpka,36092,32.5201384,-86.1722101,49903,70277
AL,Millbrook,36054,32.4977055,-86.3883595,48383,41222
AL,Atmore,36504,31.0717073,-87.4897027,23243,22228
AL,Highland Home,36041,31.949642,-86.3651124,47797,40234
AL,Gadsden,35904,34.0003469,-86.0427603,19505,32387
AL,Rainbow City,35906,33.9640619,-86.041835,39380,40435
AL,Fayette,35555,33.7012455,-87.8909439,28972,44086
AL,Berry,35546,33.6476543,-87.6143541,32380,54325
AL,Russellville,35653,34.5125993,-87.7533372,48388,70841
AL,Samson,36477,31.0847817,-86.0861751,27315,36312
AL,Slocomb,36375,31.0860719,-85.5280322,42052,42981
AL,Fort Gaines,39851,31.6127173,-85.1367411,41328,37305
AL,Newton,36352,31.2347868,-85.5932271,53258,59746
AL,Dothan,36303,31.2531951,-85.4134185,45033,42907
AL,Dothan,36301,31.2200822,-85.4193412,45442,44993
AL,Webb,36376,31.268835,-85.2759901,37902,46107
AL,Ashford,36312,31.1644974,-85.24685,42227,43566
AL,Higdon,35979,34.8513417,-85.7000137,45128,78600
AL,Stevenson,35772,34.8863961,-85.9296764,21391,27591
AL,Scottsboro,35768,34.7615314,-86.0476196,42093,36400
AL,Birmingham,35212,33.5428209,-86.752434,28550,35605
AL,Birmingham,35214,33.5423337,-86.8765161,16684,11537
AL,Birmingham,35204,33.5261497,-86.8351469,29052,15838
AL,Birmingham,35202,33.5260747,-86.7830317,12611,26789
AL,Birmingham,35218,33.5059585,-86.8745531,43322,63552
AL,Birmingham,35208,33.4847637,-86.8981396,30412,30305
AL,Birmingham,35211,33.4859451,-86.8696926,14309,46679
AL,Birmingham,35222,33.5108808,-86.7744712,34771,48141
AL,Birmingham,35205,33.4866689,-86.8173266,23929,18744
AL,Birmingham,35213,33.5206824,-86.7260226,37262,45317
AL,Homewood,35209,33.4775177,-86.8149403,26633,21802
AL,Birmingham,35215,33.6222102,-86.6790265,46009,26218
AL,Hueytown,35023,33.4525316,-87.0036566,37992,49456
AL,Bessemer,35020,33.4009536,-86.9632652,46585,32547
AL,Silverhill,36576,30.5345606,-87.7548736,44265,42398
AL,Tarrant,35217,33.5796117,-86.7705036,17037,13371
AL,Trussville,35173,33.6062979,-86.5848428,63764,60898
AL,Birmingham,35220,33.6691522,-86.6511913,66689,38318
AL,Kimberly,35091,33.7826093,-86.7857118,70230,58272
AL,Mount Olive,35117,33.6819146,-86.9203958,65918,49663
AL,Gardendale,35071,33.6758356,-86.7966575,42982,33344
AL,Graysville,35073,33.6350049,-86.9946308,47866,30405
AL,Pleasant Grove,35127,33.4820282,-86.9862506,73076,57912
AL,Adamsville,35005,33.5764455,-86.9673879,47460,34172
AL,Birmingham,35206,33.5657458,-86.6703475,24797,43647
AL,Vestavia Hills,35243,33.4582894,-86.7384274,85431,61817
AL,Vestavia Hills,35216,33.4205046,-86.7859249,39607,80856
AL,Birmingham,35221,33.4480924,-86.8892598,21950,27401
AL,Mccalla,35111,33.2874081,-87.0030024,88210,53865
AL,Prattville,36066,32.449186,-86.3730508,41056,42264
AL,Vernon,35592,33.766138,-88.0979273,14259,58691
AL,Florence,35630,34.8103953,-87.6709633,25315,18845
AL,Florence,35633,34.9480952,-87.7848039,53758,32706
AL,Florence,35634,34.9295054,-87.63545,49876,45702
AL,Killen,35645,34.8504713,-87.4793577,62159,60426
AL,Rogersville,35652,34.8122679,-87.3043693,39930,53937
AL,Town Creek,35672,34.5666247,-87.418451,30636,36144
AL,Trinity,35673,34.57105,-87.2129882,35481,47100
AL,Mt Hope,35651,34.4039525,-87.4562458,34122,46748
AL,Salem,36874,32.5985333,-85.1564072,51524,41271
AL,Athens,35613,34.8681621,-86.8659585,78280,48448
AL,Elkmont,35620,34.9326041,-86.9769708,47441,40626
AL,Athens,35611,34.8025463,-86.9899793,30742,37222
AL,Madison,35758,34.6474493,-86.8534466,85287,71138
AL,Fort Deposit,36032,32.0180975,-86.6009099,52781,51846
AL,Tuskegee Institute,36088,32.4628483,-85.7815478,36023,42007
AL,Shorter,36075,32.3575498,-85.8947986,35431,36578
AL,Huntsville,35810,34.7832877,-86.5893471,33659,47264
AL,Huntsville,35811,34.7422454,-86.5731181,30532,51596
AL,Huntsville,35806,34.7227438,-86.6787178,42703,35945
AL,Huntsville,35801,34.7351055,-86.5436849,88860,53694
AL,Huntsville,35816,34.7175673,-86.6067012,20863,16217
AL,Huntsville,35805,34.6875967,-86.6143778,22507,45377
AL,Huntsville,35803,34.6050882,-86.5713234,75064,48133
AL,New Market,35761,34.917897,-86.3494794,63617,40696
AL,Harvest,35749,34.7912574,-86.7652283,69225,55309
AL,Owens Cross Roads,35763,34.5605701,-86.4793214,49914,49851
AL,Linden,36748,32.2755299,-87.8084087,20988,33541
AL,Dixons Mills,36736,32.0620795,-87.7277351,30152,50464
AL,Hamilton,35570,34.1982117,-87.949109,32935,57865
AL,Grant,35747,34.5246512,-86.2046333,38909,44664
AL,Union Grove,35175,34.4178011,-86.463898,51925,44841
AL,Guntersville,35976,34.3505036,-86.2555798,36870,49992
AL,Albertville,35950,34.2558623,-86.2776418,20717,29509
AL,Eutaw,35462,32.9585581,-88.0510053,20746,31024
AL,Boaz,35957,34.211084,-86.1353109,60413,61358
AL,Mobile,36617,30.711631,-88.0763917,16804,25449
AL,Mobile,36604,30.6779766,-88.060697,32056,45729
AL,Mobile,36605,30.668198,-88.0769678,34077,25961
AL,Mobile,36693,30.6453523,-88.1427778,54763,42667
AL,Abbeville,36310,31.564689,-85.2591239,25216,39126
AL,Mobile,36609,30.6610364,-88.1416111,14533,41837
AL,Mobile,36618,30.7140322,-88.1460227,43324,43669
AL,Orange Beach,36561,30.3005856,-87.5417985,66868,64338
AL,Whistler,36613,30.7503663,-88.1166709,16243,23567
AL,Mount Vernon,36560,31.0707011,-88.0654398,41530,38304
AL,Wilmer,36587,30.8819066,-88.2158005,48215,45160
AL,Semmes,36575,30.7536706,-88.2468888,55680,49569
AL,Mobile,36695,30.6628949,-88.213545,92467,69504
AL,Grand Bay,36541,30.5565858,-88.3414467,25328,25644
AL,Irvington,36544,30.5154023,-88.2381941,39571,34541
AL,Monroeville,36461,31.5314913,-87.468258,48748,51291
AL,Uriah,36480,31.3250054,-87.5991274,22348,28976
AL,Montgomery,36107,32.3972125,-86.2846517,33114,22159
AL,Montgmomery,36109,32.3635327,-86.308144,51602,39175
AL,Montgomery,36108,32.3613688,-86.3289447,11494,10200
AL,Montgomery,36106,32.3612257,-86.2834307,39275,43379
AL,Montgomery,36111,32.3408795,-86.271527,31912,41835
AL,Montgomery,36105,32.3356125,-86.3078025,29294,19200
AL,Princeton,35766,34.8787834,-86.2279366,36873,39979
AL,Montgomery,36116,32.3061941,-86.2681672,54777,24162
AL,Montgomery,36117,32.353685,-86.16183,125792,75085
AL,Pike Road,36064,32.3507685,-86.0979514,99257,51364
AL,Hope Hull,36043,32.198998,-86.3443832,21249,51652
AL,Decatur,35601,34.5712507,-86.9706149,49578,55681
AL,Decatur,35603,34.5167777,-86.9711349,41789,38782
AL,Hartselle,35640,34.4937594,-86.9171854,57511,63529
AL,Somerville,35670,34.4805794,-86.7691975,41084,30061
AL,Gordo,35466,33.3973636,-87.8929221,29581,54192
AL,Troy,36081,31.8646421,-86.103939,39745,48155
AL,Wedowee,36278,33.4264515,-85.5226826,40935,29087
AL,Roanoke,36274,33.2143355,-85.3592685,49691,42143
AL,Phenix City,36870,32.4815891,-85.0367586,34531,41869
AL,Phenix City,36868,32.436776,-85.0748664,24661,29060
AL,Pell City,35128,33.5644016,-86.2404965,54496,51644
AL,Ashville,35953,33.8613957,-86.1939665,44569,47377
AL,Alabaster,35007,33.2535295,-86.8084054,38790,35105
AL,Montevallo,35115,33.1051532,-86.8316133,61618,58096
AL,Wilsonville,35186,33.2789886,-86.500775,54838,56605
AL,Childersburg,35044,33.2597282,-86.3714709,13928,18610
AL,Alexander City,35010,32.9486832,-85.9841238,31306,39643
AL,Buhl,35446,33.2005768,-87.7377348,45486,32933
AL,Brookwood,35444,33.3241425,-87.3313594,43725,44263
AL,Cottondale,35453,33.1420294,-87.3825437,51483,35724
AL,Birmingham,35235,33.596713,-86.6763136,44414,41526
AL,Tuscaloosa,35405,33.1932756,-87.5832845,24484,31856
AL,Jasper,35503,33.8786756,-87.3033145,54429,49212
AL,Jasper,35504,33.8698205,-87.18725,35721,39976
AL,Oakman,35579,33.666598,-87.3615093,32579,42545
AL,Cordova,35550,33.7269845,-87.1886153,46017,40239
AL,Sipsey,35584,33.8481176,-87.0365448,31524,44482
AL,Leroy,36548,31.4174426,-88.0504262,28999,34110
AL,Camden,36726,32.012374,-87.2921068,18681,35235
AL,Pine Apple,36768,31.8936393,-87.1386589,23205,25782
AL,Double Springs,35553,34.1268793,-87.3831356,36936,22304
AL,Haleyville,35565,34.1936265,-87.5492688,20436,42108
AL,Leeds,35094,33.5565279,-86.5621484,32289,42160
AL,Irondale,35210,33.5445586,-86.6466397,44282,57897
AL,Midfield,35228,33.4412981,-86.9424457,27480,24560
AL,Opelika,36804,32.4970769,-85.4025028,39086,47067
AL,Hayneville,36040,32.0922981,-86.7776904,17354,27609
AL,Tuskegee,36083,32.426005,-85.6917046,28544,32135
AL,Remlap,35133,33.8405764,-86.6350183,46471,36483
AL,Huntsville,35802,34.6536811,-86.5262716,80758,59507
AL,Winfield,35594,33.9577593,-87.7518284,38275,54098
AL,Mobile,36603,30.6993359,-88.0591706,15085,19617
AL,Mobile,36607,30.6950269,-88.1140906,20142,24349
AL,Prichard,36610,30.7432485,-88.081799,19718,25437
AL,Ramer,36069,32.0637351,-86.0722109,32820,39885
AL,Phenix City,36869,32.4323882,-85.0346206,30117,32894
AK,Alakanuk,99554,62.71116,-164.644712,33347,32543
AK,Barrow,99723,71.2535,-156.800072,78124,70054
AK,Buckland,99727,65.975886,-161.138732,59795,43206
AK,Chevak,99563,61.531066,-165.597199,41718,37096
AK,Chuathbaluk,99557,61.575539,-159.24707,44853,38154
AK,Copper Center,99573,61.984549,-145.354343,38571,51848
AK,Dillingham,99576,59.060472,-158.532223,62878,60850
AK,Eielson Afb,99702,64.6733,-147.059464,56650,41914
AK,Homer,99603,59.894505,-151.007044,59124,54835
AK,Healy,99743,63.959632,-148.970842,91135,57327
AK,Hughes,99745,66.044722,-154.237175,33763,37726
AK,Kaktovik,99747,70.121285,-143.627752,45810,43599
AK,Kiana,99749,66.971322,-160.437625,41209,52139
AK,Kodiak,99615,57.792391,-152.404536,60544,56650
AK,Kwethluk,99621,60.793216,-161.43139,44147,43722
AK,Ketchikan,99901,55.606676,-131.639976,0,0
AK,Mekoryuk,99630,60.370781,-166.266749,24491,37909
AK,Allakaket,99720,66.538603,-152.621292,27223,21247
AK,Noatak,99761,67.589497,-163.010332,51784,49294
AK,Petersburg,99833,56.754283,-132.873808,66964,59802
AK,Anchorage,99501,61.355597,-150.16935,84804,54957
AK,Port Protection,99950,56.331881,-133.60642,26943,55547
AK,Selawik,99770,66.590751,-160.001206,43243,40619
AK,Skagway,99840,59.46436,-135.275151,69886,49197
AK,Stevens Village,99774,66.023707,-149.080314,17126,19643
AK,Tanana,99777,65.184555,-152.054643,45813,35996
AK,Glennallen,99588,62.068635,-146.123116,0,0
AK,Unalakleet,99684,63.895578,-160.798136,64415,53933
AK,Egegik,99579,58.2050652,-156.7051884,50708,52096
AK,Wasilla,99687,61.5191219,-149.6716836,82973,51487
AK,Wasilla,99654,61.5861668,-149.3235509,86266,63620
AK,Tok,99780,63.6472192,-142.8271144,45144,46848
AK,Takotna,99675,62.8600955,-157.0581667,40060,45019
AK,Anchorage,99508,61.2167015,-149.7927444,53765,47295
AK,Eagle River,99577,61.3098218,-149.5060219,105321,65670
AK,Anchorage,99504,61.2170818,-149.7672141,54003,49175
AK,Anchorage,99507,61.1738815,-149.848285,83403,43459
AK,Anchorage,99503,61.1839061,-149.8805455,59794,60241
AK,Anchorage,99502,61.1648107,-150.1778033,115283,81014
AK,Anchorage,99518,61.1593799,-149.8999659,84689,40302
AK,Anchorage,99516,61.1015721,-149.8226304,138010,79563
AK,Bethel,99559,60.8141554,-161.8508097,72540,71288
AK,Fairbanks,99701,64.8278726,-147.7246662,45653,59865
AK,North Pole,99705,64.7752542,-147.2484609,82163,53448
AK,Hoonah,99829,58.0735321,-135.513003,54682,50103
AK,Juneau,99801,58.3972,-134.5719857,78817,74866
AK,Moose Pass,99631,60.6153549,-149.3727833,75180,67992
AK,Kenai,99611,60.5838565,-151.3261799,60259,51609
AK,Nikolaevsk,99556,59.8999551,-151.5703879,42495,48452
AK,Larsen Bay,99624,57.5020153,-153.5635123,80106,44616
AK,Saint Mary's,99658,62.2830603,-163.1909034,40341,38499
AK,Palmer,99645,61.7170925,-149.1964285,79780,57917
AK,Nome,99762,64.6079069,-165.453872,86030,64223
AK,Metlakatla,99926,55.138352,-131.4704235,48663,58581
AK,Sitka,99835,57.0451454,-135.3522511,59519,65235
AK,Tatitlek,99677,60.6553471,-147.4091896,87924,73901
AK,Huslia,99746,65.5705181,-155.6736579,29945,34933
AK,Sterling,99672,60.2648699,-150.6105623,70749,59378
AZ,Sells,85634,31.902547,-111.780387,11622,79050
AZ,Eloy,85131,32.750787,-111.670454,43020,38386
AZ,Littlefield,86432,36.907098,-113.936313,45147,39008
AZ,Bowie,85605,32.324831,-109.484454,32050,24950
AZ,Tuba City,86045,35.853193,-111.428585,34601,35089
AZ,Tucson,85739,32.484902,-110.899633,50113,48909
AZ,Chinle,86503,36.491359,-110.049912,16974,35416
AZ,Yuma,85364,32.709354,-114.678223,39081,20446
AZ,Polacca,86042,35.831663,-110.368892,24081,37496
AZ,Flagstaff,86001,35.255416,-111.725274,112343,77704
AZ,Gilbert,85295,33.310345,-111.743121,84020,59877
AZ,Dolan Springs,86441,36.004418,-113.804103,0,0
AZ,Winkelman,85292,32.994887,-110.779872,38040,26441
AZ,Holbrook,86025,35.40925,-110.114439,29443,26478
AZ,Kayenta,86033,36.717169,-110.260459,30296,37669
AZ,Kykotsmovi,86039,35.810245,-110.656849,33678,38997
AZ,Mohave Valley,86440,34.944901,-114.590643,66140,37623
AZ,Temp,85282,31.362463,-110.933538,27728,42696
AZ,Payson,85547,34.243893,-111.31884,43324,39968
AZ,Pima,85543,32.88156,-109.843764,46917,43979
AZ,Douglas,85608,31.360894,-109.566052,16730,19264
AZ,Somerton,85350,32.594385,-114.655084,23397,16677
AZ,Green Valley,85614,31.932739,-110.96536,68043,46382
AZ,San Manuel,85631,32.60603,-110.647113,43469,34231
AZ,Second Mesa,86043,35.851387,-110.49799,31960,33786
AZ,Sierra Vista,85635,31.56541,-110.314508,58812,53035
AZ,Eagar,85925,34.171921,-109.306892,30067,45297
AZ,Surprise,85374,33.671383,-112.357187,44609,43301
AZ,Roll,85347,32.700435,-113.961785,32498,43416
AZ,Winslow,86047,35.430955,-110.84315,21095,30296
AZ,Superior,85273,33.347668,-110.999724,75337,45449
AZ,Page,86040,35.954964,-112.120196,37010,43508
AZ,Cottonwood,86326,34.711987,-111.993997,45415,47395
AZ,Ajo,85321,32.258973,-112.730634,28392,61535
AZ,Yarnell,85362,34.228248,-112.763062,27616,29117
AZ,Gilbert,85298,33.2367275,-111.7386475,115886,63446
AZ,Queen Creek,85242,33.2416507,-111.656567,120267,78849
AZ,Fountain Hills,85268,33.6461625,-111.6598954,44904,41945
AZ,Morenci,85540,32.9929864,-109.3323888,71850,40733
AZ,Bullhead City,86442,35.1099928,-114.5845892,34773,32335
AZ,Bullhead City,86439,35.0150255,-114.5844264,41559,48563
AZ,Lake Havasu City,86406,34.4818248,-114.2795315,47061,37967
AZ,Pinon,86510,36.291957,-110.2982373,17769,32581
AZ,Shonto,86054,36.6840509,-110.6114408,26019,40116
AZ,Lakeside,85929,34.1236048,-109.9520323,59716,52953
AZ,Show Low,85901,34.2725505,-109.9612285,33531,43717
AZ,Tucson,85701,32.212867,-110.9771682,39574,44800
AZ,Tucson,85716,32.2492877,-110.9209011,28401,43288
AZ,Ehrenberg,85334,33.2825883,-114.4150358,0,0
AZ,Tucson,85713,32.1877205,-110.9946412,32166,28408
AZ,Tucson,85711,32.1995907,-110.8622294,35025,27251
AZ,Tucson,85706,32.1413278,-110.9855152,33686,34282
AZ,Tucson,85715,32.2569005,-110.8325423,52748,52286
AZ,Tucson,85748,32.2135906,-110.7812274,73008,51092
AZ,Tucson,85710,32.2840302,-110.781441,96439,68589
AZ,Vail,85641,32.0974037,-110.7770346,74637,49021
AZ,Sun City,85373,33.6751574,-112.3386479,44224,35620
AZ,Green Valley,85622,31.7740178,-110.9544319,74925,52594
AZ,Sahuarita,85629,31.9837468,-110.9797993,74059,48336
AZ,Tucson,85745,32.2430537,-111.0296803,73148,45564
AZ,Tucson,85743,32.3480444,-111.087263,68188,34745
AZ,Tucson,85705,32.2866043,-110.9671486,19089,38325
AZ,Tucson,85704,32.3035958,-110.9870329,56317,42184
AZ,St Johns,85936,34.6970843,-109.5067714,37626,37955
AZ,Tucson,85755,32.4623892,-110.9936469,108682,69734
AZ,Tucson,85718,32.2915746,-110.9081823,78185,85555
AZ,Surprise,85387,33.6762281,-112.4163657,63984,54414
AZ,Tucson,85750,32.2898394,-110.8482194,78342,76414
AZ,Florence,85132,33.1544205,-111.5390565,54360,36434
AZ,Apache Junction,85220,33.4113667,-111.5637657,32748,32374
AZ,Oracle,85623,32.5506259,-110.8592663,72414,52480
AZ,Casa Grande,85222,32.9309254,-111.7740229,48531,40420
AZ,Mesa,85204,33.0553653,-112.0192483,68778,48156
AZ,Picacho,85241,32.593809,-111.5851591,46878,35697
AZ,Nogales,85621,31.4430891,-110.8696338,51629,43441
AZ,Buckeye,85322,33.5484373,-112.6462541,73437,56036
AZ,Prescott,86305,34.6268166,-112.4437036,44963,61616
AZ,Prescott Valley,86312,34.5863785,-112.2822925,35026,31515
AZ,Bagdad,86321,34.5733844,-113.1438803,76057,49278
AZ,Sedona,86351,34.7817127,-111.732393,64754,55414
AZ,Yuma,85366,32.67363,-114.6112962,38166,43455
AZ,San Luis,85349,32.4924714,-114.7770437,28252,30676
AZ,Dateland,85333,32.242892,-113.5327972,0,0
AZ,El Mirage,85335,33.6196477,-112.3144574,53380,39726
AZ,Fort Defiance,86504,35.9506832,-109.1461416,19821,37773
AZ,Ganado,86505,35.6217526,-109.3752943,15983,27873
AZ,Benson,85602,31.9582989,-110.3045946,43357,27442
AZ,Pomerene,85627,32.200019,-110.2836792,44767,48425
AZ,Tucson,85712,31.3644435,-109.4911125,16703,21503
AZ,Douglas,85607,31.3389448,-109.5503177,27002,23007
AZ,Litchfield Park,85340,33.4834524,-112.3250332,57086,57721
AZ,Hereford,85615,31.4646753,-110.0397849,36335,41353
AZ,Ft Huachuca,85670,31.5071568,-110.3621165,0,0
AZ,Flagstaff,86004,35.2174762,-111.6056385,83296,63912
AZ,Goodyear,85338,33.413794,-112.3997841,50646,31240
AZ,Kaibeto,86053,36.5452151,-111.3261199,50891,55681
AZ,Pine,85544,34.3038561,-111.5611326,63662,43945
AZ,Miami,85539,33.452695,-110.9371613,38206,43960
AZ,San Carlos,85550,33.4885424,-110.4235097,39374,58755
AZ,Surprise,85379,33.6165068,-112.3678926,73302,60232
AZ,Safford,85546,32.8141246,-109.7192896,43128,42504
AZ,Phoenix,85009,32.8913628,-109.5331779,51503,56207
AZ,Parker,85344,33.8749524,-114.3598873,21700,23814
AZ,Cave Creek,85327,33.8175437,-111.9168671,49697,64282
AZ,Surprise,85378,33.6577414,-112.3366887,37501,33904
AZ,Morristown,85342,33.8962909,-112.5112619,56588,44977
AZ,Phoenix,85018,33.464555,-112.4021325,59022,44830
AZ,Peoria,85382,33.6294009,-112.2828515,37353,32701
AZ,Glendale,85308,33.6315958,-112.418113,59202,44211
AZ,Glendale,85031,33.5295913,-112.3500764,23244,30910
AZ,Peoria,85381,33.6033854,-112.2606851,33544,32593
